tceid,catid,n_planets,tce_num,tce_period,tce_time0bk,tce_duration,planet
49664946_1,49664946,1,1,14.09978,1626.522,0.6577338,0
37147987_1,37147987,1,1,13.86587,1626.247,0.8486996,1
235717346_1,235717346,1,1,13.87768,1613.332,0.490055,0
258776038_1,258776038,1,1,0.4398072,1612.982,0.02350837,0
356700695_1,356700695,1,1,28.13187,1613.23,0.2592486,0
148121057_1,148121057,2,1,1.226299,1613.714,0.04166667,0
7585195_1,7585195,1,1,20.4281,1620.632,0.1405402,0
257648522_3,257648522,3,3,13.95476,1626.754,0.1622688,1
68900724_1,68900724,2,1,5.633496,1614.282,0.1487473,0
291316761_1,291316761,1,1,27.98472,1613.442,0.5258642,0
259004487_2,259004487,2,2,3.237586,1615.974,0.13886,0
32475189_1,32475189,2,1,9.948627,1619.699,0.1708831,0
198381449_1,198381449,1,1,13.98451,1626.73,0.618745,0
233087298_1,233087298,1,1,1.129226,1613.157,0.1092607,1
199714004_1,199714004,1,1,14.03858,1626.621,0.5947029,0
229473874_1,229473874,2,1,19.98522,1616.749,0.156999,0
256662147_1,256662147,2,1,13.96571,1626.633,0.4824892,0
233657572_3,233657572,3,3,2.045613,1613.753,0.063152,0
219871477_3,219871477,3,3,14.80295,1626.428,0.5637813,0
193344788_2,193344788,3,2,7.59874,1617.835,0.8232483,0
291394559_3,291394559,3,3,13.46169,1625.432,0.12584,0
233659455_1,233659455,1,1,13.95366,1626.85,0.4719412,0
233076668_1,233076668,1,1,16.67663,1624.658,0.2980888,0
181436192_1,181436192,1,1,13.95087,1626.564,0.9295767,0
393635379_1,393635379,1,1,2.461357,1613.952,0.1921849,0
193326396_1,193326396,1,1,13.96253,1626.747,0.1589997,0
165526988_1,165526988,1,1,23.39953,1617.199,0.5088417,0
353936892_1,353936892,1,1,11.38502,1623.979,0.09177879,1
459950947_1,459950947,2,1,9.519437,1618.019,1.089759,0
258242214_1,258242214,2,1,8.976985,1618.802,0.1738643,0
290564590_2,290564590,2,2,0.7829148,1613.252,0.02083333,0
18228140_1,18228140,2,1,7.374725,1616.131,0.1703769,1
256379705_3,256379705,3,3,13.97273,1626.695,0.6218696,0
284892493_1,284892493,1,1,3.628133,1616.446,0.1222712,1
232621823_1,232621823,1,1,2.148622,1614.442,0.09334458,1
219746976_1,219746976,3,1,5.296322,1617.999,0.2658048,0
399107543_1,399107543,1,1,13.95415,1626.378,0.6474037,0
193377271_1,193377271,1,1,8.689703,1614.001,0.1616889,1
219806889_1,219806889,1,1,14.01185,1626.615,0.6681196,0
258351789_1,258351789,2,1,4.644797,1616.027,0.2700568,0
159773066_1,159773066,1,1,6.937135,1613.909,0.1631268,1
46175111_1,46175111,1,1,14.20143,1626.749,0.1450429,0
298338983_1,298338983,1,1,15.49641,1625.283,0.2368971,0
310561395_1,310561395,2,1,3.215993,1615.402,0.1889732,0
29385285_1,29385285,2,1,10.33853,1613.46,0.189701,1
334753537_1,334753537,1,1,16.2897,1621.284,0.2986424,0
298602203_2,298602203,2,2,8.729167,1617.526,0.08333333,0
157153527_1,157153527,1,1,28.44444,1612.932,0.4375,0
32537323_2,32537323,2,2,5.437358,1617.124,0.2259242,0
230381544_3,230381544,4,3,3.530694,1614.386,0.07632667,0
18116966_3,18116966,3,3,9.471604,1617.585,0.3148116,0
39429875_2,39429875,2,2,12.1208,1615.509,0.8574042,0
462246734_1,462246734,1,1,17.18797,1623.176,0.8966329,0
85513730_2,85513730,2,2,13.98203,1626.249,0.7306163,0
461390009_1,461390009,1,1,9.376849,1613.633,0.2061233,1
298554824_1,298554824,1,1,13.92929,1626.254,0.6285975,0
356235477_2,356235477,2,2,2.942566,1612.859,0.159759,0
366435680_4,366435680,5,4,16.10431,1618.699,0.1733113,0
115182462_1,115182462,2,1,2.42775,1614.808,0.1688037,0
359497060_1,359497060,2,1,14.23477,1626.719,0.1092785,0
233199387_1,233199387,2,1,8.282366,1617.793,0.1279702,0
233090373_1,233090373,1,1,16.93524,1623.81,0.1714475,0
232600627_3,232600627,9,3,18.70443,1620.269,0.09781521,0
229768340_2,229768340,3,2,0.2480766,1612.872,0.04409175,0
296837389_1,296837389,2,1,1.957546,1613.795,0.08563663,1
329072394_1,329072394,1,1,15.9975,1618.434,0.3220192,0
39464221_2,39464221,2,2,7.774138,1619.246,0.293467,0
441804565_2,441804565,2,2,3.658796,1612.983,0.2367972,0
259127388_2,259127388,2,2,12.28033,1620.185,0.2323852,1
288428751_2,288428751,2,2,1.226623,1613.137,0.04828292,1
229686000_1,229686000,3,1,7.176431,1616.143,0.1802469,0
198279156_1,198279156,3,1,1.29937,1613.07,0.1458333,0
182039063_1,182039063,2,1,2.384319,1613.072,0.18547,0
255869354_2,255869354,2,2,9.34939,1620.694,0.08021438,0
298733254_1,298733254,1,1,14.85394,1626.18,0.769365,0
377054253_1,377054253,2,1,3.695344,1613.045,0.6951246,0
229939744_1,229939744,1,1,6.912061,1619.393,0.1679263,1
274554671_3,274554671,3,3,13.99763,1613.173,0.8004542,0
233086616_1,233086616,1,1,14.84522,1625.245,0.1633735,0
135511734_2,135511734,2,2,8.705613,1616.537,0.3360102,0
307985337_1,307985337,1,1,13.97011,1626.687,0.0891355,0
199610331_1,199610331,1,1,4.416438,1614.721,0.3017986,1
230113220_1,230113220,2,1,3.780847,1613.356,0.1912895,0
168574780_1,168574780,1,1,13.95146,1626.437,0.5266238,0
459980341_1,459980341,1,1,5.155251,1615.144,0.08449154,1
8347908_2,8347908,2,2,3.094087,1613.327,0.18402,0
357517184_1,357517184,1,1,27.47927,1613.058,0.4465633,0
198356747_2,198356747,2,2,18.85017,1617.385,0.1944937,0
229667767_2,229667767,2,2,13.95867,1613.618,0.5308242,0
229587145_1,229587145,1,1,28.04221,1613.108,0.3078869,0
232637613_2,232637613,3,2,11.76027,1615.244,0.04221667,0
353284053_1,353284053,1,1,1.923764,1613.824,0.04407987,1
229581728_2,229581728,2,2,8.760583,1614.433,0.1361038,0
289570607_1,289570607,1,1,15.73857,1621.204,0.194646,1
193679683_1,193679683,2,1,9.889803,1619.043,0.169233,0
115582906_1,115582906,2,1,7.946395,1615.797,0.185611,0
17491014_1,17491014,2,1,8.451548,1619.722,0.1869489,0
159941208_1,159941208,3,1,9.94497,1613.946,0.290031,0
357517326_1,357517326,1,1,14.1832,1626.746,0.1450345,0
359497060_2,359497060,2,2,13.64973,1613.361,0.05648037,0
471012795_1,471012795,1,1,0.5074645,1613.342,0.02083333,0
199685281_2,199685281,2,2,6.049336,1614.185,0.183093,0
411146343_1,411146343,1,1,14.59175,1626.552,0.314887,0
230079079_1,230079079,1,1,9.13226,1616.603,0.2003698,1
137034724_2,137034724,2,2,4.61152,1616.2,0.1287136,0
390021497_1,390021497,1,1,4.139739,1613.396,0.1698987,0
233525242_1,233525242,1,1,8.727736,1613.789,0.141072,1
115582908_2,115582908,2,2,9.489084,1621.647,0.2836161,0
39202045_1,39202045,1,1,5.109128,1615.002,0.1051242,1
298439336_1,298439336,2,1,6.750591,1617.458,0.08460567,0
153447930_2,153447930,2,2,13.96276,1626.709,0.07143733,0
318865379_2,318865379,3,2,13.95705,1613.052,0.03568797,0
168454205_1,168454205,1,1,13.89602,1626.22,0.9112671,0
366435658_1,366435658,2,1,3.160525,1615.253,0.0908125,0
32309405_1,32309405,1,1,3.446796,1613.387,0.1691007,1
9570201_1,9570201,1,1,13.92887,1613.365,0.4979454,0
291394559_1,291394559,3,1,11.52603,1616.079,0.09791088,0
402658799_1,402658799,1,1,28.52587,1612.916,0.2143445,0
232611725_1,232611725,2,1,5.899867,1617.236,0.1808905,0
274384497_1,274384497,2,1,8.644365,1615.521,0.1342075,0
230000212_1,230000212,1,1,28.10592,1613.049,0.1823639,0
359388713_2,359388713,2,2,0.680432,1613.462,0.05276146,0
49461827_1,49461827,2,1,4.173253,1617.033,0.1244443,0
233501728_1,233501728,1,1,2.083327,1613.976,0.06663913,1
17408281_1,17408281,1,1,2.92143,1613.106,0.1082839,1
233053698_1,233053698,1,1,9.962194,1621.33,0.1152325,1
362224688_1,362224688,1,1,14.34116,1626.629,0.1050565,0
237097063_1,237097063,2,1,24.82495,1616.372,0.5174908,0
207468713_1,207468713,1,1,13.98656,1613.196,0.3926835,0
198187877_1,198187877,1,1,14.24583,1626.372,0.625,0
458486928_3,458486928,3,3,2.335459,1614.4,0.04277433,1
57103315_2,57103315,2,2,10.67542,1615.265,0.2013797,0
